dataset,channel,window_id,feat_abs_mean,feat_band_energy_1,feat_band_energy_2,feat_band_energy_3,feat_band_energy_4,feat_clearance_factor,feat_crest_factor,feat_impulse_factor,feat_kurtosis,feat_mean,feat_p2p,feat_peak,feat_peak_freq,feat_rms,feat_root_amplitude,feat_shape_factor,feat_skewness,feat_spec_centroid,feat_spec_flatness,feat_spec_kurtosis,feat_spec_skewness,feat_spec_spread,feat_std,feat_variance,label,condition,fs
CWRU,DE,0,0.05871973016826918,0.9457191426390524,0.052456917673879534,0.0011135933705995428,0.000710345349884548,5.47190172048127,3.7248450828604085,4.646971678769314,-0.04582380725790669,0.012004959735576918,0.4906633846153845,0.272868923076923,1031.25,0.07325644879367162,0.04986729239956513,1.2475610596939997,-0.1373218084174156,853.2292868364196,0.009066753445565888,151.49899465058303,11.615102444478781,502.4386217262691,0.0722660932360883,0.005222388231607008,normal,baseline,12000.0
CWRU,DE,1,0.05944041075721149,0.9444598008912602,0.05386463825873759,0.0008719433273803198,0.0008036167351738378,5.43528117443287,3.662320598173693,4.590629835844762,-0.11633848943580949,0.013116182992788458,0.4852393846153845,0.272868923076923,1031.25,0.07450710983986379,0.05020327639358875,1.2534756891938936,-0.010098870031259463,860.9305602925126,0.008960478644363237,169.66181818589462,12.375136082469812,501.5286095250488,0.07334354204965299,0.005379275160389215,normal,baseline,12000.0
CWRU,DE,2,0.06336498768028842,0.9543275556114289,0.04425380581797909,0.0007939447424855876,0.0006246937170958905,4.226340245844964,2.8691705500135685,3.5787101264988492,-0.1845797806983538,0.012790221454326919,0.4497747692307691,0.226764923076923,1031.25,0.0790350099877648,0.0536551507654553,1.2472978040576659,-0.06234781547794211,796.2498629421233,0.0076811019999210315,122.68574607844334,10.396593676757366,508.8623393376954,0.07799322431413742,0.0060829430389153566,normal,baseline,12000.0
CWRU,DE,3,0.06236112800480764,0.9500226103333583,0.04864904992515985,0.0008363739467033917,0.0004919654094779007,4.28910913874134,2.910360981903782,3.63631849410166,-0.15065664928791023,0.012147975360576917,0.4497747692307691,0.226764923076923,1031.25,0.07791642496821377,0.052869935397229895,1.2494389928643836,-0.10381923541383421,825.8332524007226,0.00804673597919977,147.75709683601494,11.384248114333683,499.2223038465756,0.07696360162093574,0.005923395974466103,normal,baseline,12000.0
CWRU,DE,4,0.05944509645432688,0.9442952334506676,0.053940991934707534,0.0009587110899370747,0.000805062566485683,4.342668287389394,2.949440411211336,3.688357531713789,-0.22175974612149352,0.011958815805288455,0.4214030769230769,0.2192547692307692,1031.25,0.07433775179771175,0.050488491112125625,1.2505279027485012,0.025960082570679742,867.3737646179327,0.008912266406454213,154.69262936441507,11.83205108783258,501.46991447151396,0.07336953091626919,0.0053830880668733795,normal,baseline,12000.0
CWRU,DE,5,0.058742445612980726,0.9482903392232682,0.04993528001618066,0.0009725141137845923,0.0008018640467782372,4.9717858685975935,3.4154190773374973,4.243871395104056,-0.17961564571480348,0.010740534555288457,0.46855015384615384,0.2492953846153846,1031.25,0.07299115539570147,0.05014201962919696,1.2425624203084271,-0.021942586980997554,855.032150866231,0.008881688731982354,131.94263032346862,10.823205014718521,501.4517900297317,0.07219660437628694,0.005212349683466094,normal,baseline,12000.0
CWRU,DE,6,0.059124941105769185,0.9464505501708949,0.05197261603617507,0.0009159361984282185,0.000660892032423207,4.954821720131749,3.383104726678905,4.216416624744161,-0.06903485417689215,0.010284697716346148,0.4967132307692307,0.2492953846153846,1031.25,0.07368834391955421,0.050313694154217894,1.246315726348588,-0.1475354646777328,862.0873599925598,0.00870500796094063,132.97220310992492,10.909331685313102,492.269032879333,0.07296709547796107,0.005324197022489888,normal,baseline,12000.0
CWRU,DE,7,0.05816366015624995,0.9431662334380156,0.055393875917597195,0.0008546848468011334,0.0005852022638493699,5.041509885115433,3.3825027602344555,4.253821810546081,0.01977682111702128,0.01080633804086538,0.4629175384615384,0.2474178461538461,1031.25,0.07314638411017779,0.04907614024209755,1.2575959613559133,-0.13228631129541166,907.9163041178839,0.008920958102944835,135.78316768211258,11.14008355752534,474.05433044835075,0.07234373895880843,0.005233616566540217,normal,baseline,12000.0
CWRU,DE,8,0.05815021424278841,0.9379459430110998,0.06043557933129863,0.0009396875211398089,0.0006787898233802438,4.551258231826761,3.1156981945707676,3.863765115166933,-0.20560065019250073,0.011016379507211533,0.4282873846153845,0.2246787692307692,1031.25,0.07211185268916008,0.0493662977986175,1.2400960792350502,-0.08345110709392883,916.3890639787132,0.009961276558857823,179.65084638698426,12.760290692104643,479.87571327939014,0.07126541012873085,0.005078758680816213,normal,baseline,12000.0
CWRU,DE,9,0.05658366346153841,0.9401533535931944,0.05816510732000918,0.0008630797305411736,0.00081845888461194,4.6948407016312395,3.18697963655308,3.970735641454004,-0.19814862824187252,0.01027247415865384,0.4126412307692307,0.2246787692307692,1031.25,0.07049896605984389,0.047856526666113244,1.2459243843015595,-0.05847925886378032,916.42519696106,0.009318513210756956,157.01485860382633,11.983228417619753,480.2435667545485,0.069746544646791,0.00486458049016681,normal,baseline,12000.0
